iter	Passed	Remaining
0	1	140
1	2	141
2	5	167
3	7	180
4	9	189
5	12	194
6	15	204
7	17	201
8	20	203
9	22	203
10	25	205
11	28	208
12	31	208
13	33	207
14	36	204
15	38	202
16	40	197
17	42	192
18	44	191
19	46	186
20	49	184
21	50	179
22	53	179
23	55	175
24	58	175
25	61	173
26	63	172
27	66	171
28	69	170
29	72	169
30	75	167
31	77	165
32	80	163
33	82	160
34	84	157
35	87	155
36	89	152
37	91	150
38	94	147
39	96	144
40	98	141
41	100	139
42	102	136
43	104	132
44	105	129
45	107	125
46	108	122
47	110	119
48	112	116
49	113	113
50	115	110
51	116	107
52	117	104
53	119	101
54	120	98
55	121	95
56	122	92
57	123	89
58	125	87
59	126	84
60	127	81
61	128	79
62	129	76
63	130	73
64	132	71
65	133	68
66	134	66
67	135	63
68	136	61
69	137	58
70	138	56
71	139	54
72	140	52
73	141	49
74	143	47
75	144	45
76	145	43
77	146	41
78	147	39
79	148	37
80	149	35
81	150	33
82	151	31
83	152	29
84	153	27
85	155	25
86	156	23
87	157	21
88	158	19
89	159	17
90	160	15
91	161	14
92	162	12
93	163	10
94	164	8
95	165	6
96	167	5
97	168	3
98	169	1
99	170	0
