iter	Passed	Remaining
0	0	904
1	1	826
2	2	804
3	3	786
4	3	770
5	4	762
6	5	750
7	6	746
8	6	749
9	7	740
10	8	728
11	8	723
12	9	718
13	10	718
14	10	719
15	11	712
16	12	711
17	13	711
18	13	712
19	14	713
20	15	715
21	16	713
22	16	714
23	17	711
24	18	713
25	18	711
26	19	712
27	20	709
28	21	707
29	21	705
30	22	703
31	23	699
32	23	697
33	24	694
34	25	693
35	25	694
36	26	693
37	27	691
38	28	690
39	28	687
40	29	685
41	29	683
42	30	683
43	31	682
44	32	684
45	32	682
46	33	683
47	34	684
48	35	682
49	35	681
50	36	680
51	37	682
52	38	682
53	38	680
54	39	679
55	40	677
56	40	676
57	41	674
58	42	673
59	42	672
60	43	672
61	44	671
62	45	669
63	45	668
64	46	667
65	47	667
66	47	666
67	48	664
68	49	664
69	49	664
70	50	663
71	51	663
72	52	662
73	52	660
74	53	658
75	54	658
76	54	657
77	55	657
78	56	656
79	57	655
80	57	653
81	58	653
82	58	648
83	59	647
84	60	646
85	60	645
86	61	644
87	62	643
88	62	642
89	63	641
90	64	640
91	64	639
92	65	638
93	66	637
94	66	637
95	67	636
96	68	635
97	68	633
98	69	631
99	69	629
100	70	628
101	71	625
102	71	623
103	72	621
104	72	618
105	73	616
106	73	613
107	74	611
108	74	610
109	75	609
110	76	609
111	76	608
112	77	605
113	77	603
114	78	601
115	78	599
116	78	596
117	79	593
118	79	591
119	80	590
120	81	588
121	81	586
122	82	585
123	82	583
124	83	581
125	83	579
126	83	577
127	84	575
128	84	573
129	85	571
130	85	569
131	86	567
132	86	565
133	87	565
134	87	563
135	88	561
136	88	560
137	89	558
138	89	556
139	90	554
140	90	552
141	91	550
142	91	548
143	92	546
144	92	545
145	92	543
146	93	543
147	94	542
148	94	540
149	95	539
150	95	537
151	96	536
152	96	534
153	97	533
154	97	532
155	98	530
156	98	529
157	99	527
158	99	526
159	100	525
160	100	523
161	101	522
162	101	521
163	101	519
164	102	518
165	102	517
166	103	515
167	103	514
168	104	513
169	104	512
170	105	510
171	105	509
172	106	508
173	107	508
174	107	507
175	108	506
176	108	505
177	109	506
178	110	505
179	110	504
180	111	503
181	111	502
182	112	500
183	112	500
184	113	499
185	113	498
186	114	497
187	115	496
188	115	495
189	116	494
190	116	493
191	116	492
192	117	490
193	117	489
194	118	488
195	118	487
196	119	487
197	120	486
198	120	486
199	121	485
200	122	485
201	122	484
202	123	483
203	123	483
204	124	482
205	124	481
206	125	481
207	126	480
208	126	479
209	127	479
210	128	478
211	128	478
212	129	478
213	130	478
214	130	477
215	131	477
216	132	476
217	132	475
218	133	475
219	133	474
220	134	473
221	134	472
222	135	471
223	135	470
224	136	469
225	136	468
226	137	467
227	137	466
228	138	466
229	139	466
230	139	465
231	140	464
232	140	463
233	141	462
234	141	461
235	142	460
236	142	459
237	143	458
238	143	457
239	144	456
240	144	455
241	145	455
242	145	454
243	146	453
244	146	452
245	147	451
246	147	450
247	148	449
248	148	448
249	149	447
250	149	446
251	150	445
252	150	445
253	151	444
254	151	443
255	152	442
256	152	442
257	153	441
258	153	440
259	154	439
260	154	438
261	155	437
262	155	436
263	156	435
264	156	434
265	157	434
266	157	433
267	158	432
268	158	431
269	159	431
270	160	430
271	160	430
272	161	429
273	161	428
274	162	427
275	162	426
276	163	426
277	163	425
278	164	424
279	165	424
280	165	423
281	166	423
282	166	422
283	167	421
284	167	420
285	168	420
286	168	419
287	169	418
288	169	418
289	170	417
290	170	416
291	171	415
292	171	414
293	172	414
294	172	413
295	173	412
296	174	412
297	174	411
298	175	410
299	175	409
300	176	409
301	176	408
302	177	408
303	177	407
304	178	406
305	178	405
306	179	404
307	179	404
308	180	403
309	180	402
310	181	402
311	181	401
312	182	400
313	183	401
314	184	400
315	184	399
316	185	398
317	185	397
318	185	397
319	186	396
320	187	395
321	188	396
322	188	395
323	189	395
324	190	394
325	190	393
326	191	393
327	191	392
328	191	391
329	192	390
330	192	389
331	193	389
332	194	388
333	194	387
334	195	387
335	195	386
336	196	386
337	196	385
338	197	384
339	197	383
340	198	382
341	198	382
342	199	382
343	200	381
344	200	381
345	201	380
346	201	379
347	202	379
348	202	378
349	203	377
350	203	377
351	204	376
352	204	375
353	205	374
354	206	374
355	206	373
356	207	373
357	207	372
358	208	371
359	208	371
360	209	370
361	209	369
362	210	369
363	210	368
364	211	367
365	212	367
366	212	366
367	213	366
368	213	365
369	214	365
370	214	364
371	215	363
372	216	363
373	216	362
374	217	361
375	217	361
376	218	360
377	218	359
378	219	359
379	219	358
380	220	357
381	220	357
382	221	356
383	222	356
384	222	355
385	223	355
386	223	354
387	224	354
388	225	353
389	225	352
390	226	352
391	226	351
392	227	351
393	228	350
394	228	350
395	229	349
396	229	349
397	230	348
398	231	348
399	231	347
400	232	347
401	232	346
402	233	345
403	234	345
404	234	345
405	235	344
406	235	343
407	236	343
408	237	342
409	237	342
410	238	341
411	239	341
412	239	340
413	240	340
414	241	339
415	241	339
416	242	338
417	242	338
418	243	338
419	244	337
420	244	336
421	245	336
422	246	336
423	247	335
424	247	335
425	248	334
426	248	333
427	249	333
428	249	332
429	250	332
430	251	331
431	251	330
432	252	330
433	252	329
434	253	329
435	254	328
436	254	328
437	255	327
438	255	327
439	256	326
440	257	326
441	258	325
442	258	325
443	259	324
444	260	324
445	260	323
446	261	323
447	261	322
448	262	322
449	263	321
450	263	321
451	264	320
452	264	319
453	265	319
454	266	318
455	266	318
456	267	317
457	268	317
458	268	316
459	269	315
460	269	315
461	270	314
462	270	314
463	271	313
464	272	313
465	273	312
466	273	312
467	274	312
468	275	311
469	275	310
470	276	310
471	277	309
472	277	309
473	278	308
474	279	308
475	279	307
476	280	307
477	280	306
478	281	306
479	282	305
480	282	305
481	283	304
482	283	303
483	284	303
484	285	303
485	286	302
486	286	302
487	287	301
488	288	301
489	288	300
490	289	300
491	289	299
492	290	298
493	291	298
494	291	297
495	292	297
496	293	296
497	293	296
498	294	295
499	295	295
500	295	294
501	296	293
502	296	293
503	297	292
504	298	292
505	298	291
506	299	291
507	300	291
508	301	290
509	301	290
510	302	289
511	303	289
512	304	288
513	304	288
514	305	287
515	306	287
516	307	287
517	308	286
518	308	286
519	309	285
520	309	284
521	310	284
522	311	283
523	311	283
524	312	282
525	313	282
526	314	281
527	314	281
528	315	280
529	315	279
530	316	279
531	317	278
532	317	278
533	318	277
534	318	277
535	319	276
536	320	276
537	320	275
538	321	274
539	322	274
540	323	274
541	323	273
542	324	273
543	325	272
544	325	272
545	326	271
